Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
PELVIS_S,3.78529087037144E-05,3.81781425684836E-07,0.0386396273530852,0,0,0,2.10624590271277,0.00165706865324979,3.13663044821662E-09,6.84209533216046E-07,0.00136736758630241,-1.01014607878816E-10,0.00168295663089359,0,0,0,0,0,0,package://T170A_ARM/meshes/PELVIS_S.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://T170A_ARM/meshes/PELVIS_S.STL,,CRA-RI40-52-PRO-2-xxx-B0-1;CRA-RI60-70-PRO-2-xxx-A0-5;CRA-RI60-70-PRO-2-xxx-A0-1;T170A-610-A1-1;T170A-150-A1-1,c00,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
L_SHOULDER_P_S,-0.00982258725282134,0.0704593083751867,1.15261874861217E-06,0,0,0,0.880737519698403,0.000583190308378148,-1.53153074560473E-05,6.58466471754072E-09,0.000445532440067177,6.37001404038516E-09,0.000465648071069952,0,0,0,0,0,0,package://T170A_ARM/meshes/L_SHOULDER_P_S.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://T170A_ARM/meshes/L_SHOULDER_P_S.STL,,T170A-151-A1-3;T170A-210-A1-2;CRA-RI60-70-PRO-2-xxx-A0-2,cal1,lal1,L_SHOULDER_P,revolute,0,0.0945,0.042,0,0,0,PELVIS_S,0,1,0,0,0,-2.09,0.087,,,,,,,,
L_SHOULDER_R_S,-0.0346025282975857,0.091739327988169,-1.67085072999562E-08,0,0,0,0.594788424442483,0.000380970396712656,4.80751844573946E-05,-1.34913746586865E-11,0.000320962178597474,-1.00039763442409E-09,0.000414771047901155,0,0,0,0,0,0,package://T170A_ARM/meshes/L_SHOULDER_R_S.STL,0.890196078431372,0.890196078431372,0.913725490196078,1,0,0,0,0,0,0,package://T170A_ARM/meshes/L_SHOULDER_R_S.STL,,T170A-220-A1-2;CRA-RI50-60-PRO-2-xxx-B0-1;T170A-222-A1-2,cal2,lal2,L_SHOULDER_R,revolute,0.035,0.0765,0,0,0,0,L_SHOULDER_P_S,1,0,0,0,0,0,2.8,,,,,,,,
L_SHOULDER_Y_S,-0.00440976862014801,0.0863620459174068,9.50748668682166E-09,0,0,0,0.563406026626801,0.000327003834287552,-1.8057438966771E-05,7.28778136267901E-10,0.000213830709361531,1.49273668517817E-10,0.000297341029639189,0,0,0,0,0,0,package://T170A_ARM/meshes/L_SHOULDER_Y_S.STL,0.890196078431372,0.890196078431372,0.913725490196078,1,0,0,0,0,0,0,package://T170A_ARM/meshes/L_SHOULDER_Y_S.STL,,T170A-230-A1-2;CRA-RI50-60-PRO-2-xxx-B0-2;T170A-221-A1-4,cal3,lal3,L_SHOULDER_Y,revolute,-0.035,0.1475,0,0,0,0,L_SHOULDER_R_S,0,1,0,0,0,-1.57,1.57,,,,,,,,
L_ELBOW_R_S,-0.0335624237303443,0.0603199964106564,2.99655911639718E-07,0,0,0,0.393571904406493,0.00017277119386253,2.34549801867355E-05,-1.90560556659271E-09,0.000155340245267897,8.82493073600007E-09,0.00018104232734159,0,0,0,0,0,0,package://T170A_ARM/meshes/L_ELBOW_R_S.STL,0.890196078431372,0.890196078431372,0.913725490196078,1,0,0,0,0,0,0,package://T170A_ARM/meshes/L_ELBOW_R_S.STL,,T170A-240-A1-2;CRA-RI40-52-PRO-2-xxx-B0-2;T170A-241-A1-2,cal4,lal4,L_ELBOW_R,revolute,0.034,0.1025,0,0,0,0,L_SHOULDER_Y_S,1,0,0,0,0,-1.57,0,,,,,,,,
L_WRIST_P_S,-1.39659173115092E-10,0.0675972604744393,0.019200551565574,0,0,0,0.442332465815496,0.000476754055455895,-4.61505824713347E-15,6.03808112272229E-18,0.000103466585850499,-4.88426705501198E-05,0.000482956345754213,0,0,0,0,0,0,package://T170A_ARM/meshes/L_WRIST_P_S.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://T170A_ARM/meshes/L_WRIST_P_S.STL,,CRA-RI30-40-PRO-2-xxx-B0-4;T170A-254-A1-11;695AZZ-11;695AZZ-12;T170A-251-A1-3;T170A-254-A1-12;T170A-250-A1-2;T170A-254-A1-10;695AZZ-10;T170A-253-A1-3;ra2005-3;T170A-254-A1-9;695AZZ-9;T170A-262-A1-3;T170A-252-A1-4;T170A-252-A1-3,cal5,lal5,L_WRIST_P,revolute,-0.034,0.0965,0,0,0,0,L_ELBOW_R_S,0,1,0,0,0,-1.57,1.57,,,,,,,,
L_WRIST_Y_S,-0.00464135887331864,-5.06426789392833E-10,-0.0341253783666609,0,0,0,0.23573847772002,5.10686940455785E-05,7.45706654358429E-16,6.2619568923368E-06,6.00636019624519E-05,1.27989654155383E-16,5.32182903609189E-05,0,0,0,0,0,0,package://T170A_ARM/meshes/L_WRIST_Y_S.STL,0.647058823529412,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://T170A_ARM/meshes/L_WRIST_Y_S.STL,,T170A-260-A1-5;CRA-RI30-40-PRO-2-xxx-B0-5,cal6,lal6,L_WRIST_Y,revolute,0,0.1525,0.039,0,0,0,L_WRIST_P_S,0,0,1,0,0,-0.26,0.26,,,,,,,,
L_WRIST_R_S,-0.0161477357620243,0.0955046558857351,-0.00499392489444117,0,0,0,0.504894112043562,0.000186833711781125,-3.99488705622731E-06,-1.51920720398336E-06,0.000179960980467837,3.6992669535716E-06,0.000280756101568308,0,0,0,0,0,0,package://T170A_ARM/meshes/L_WRIST_R_S.STL,0.890196078431372,0.890196078431372,0.913725490196078,1,0,0,0,0,0,0,package://T170A_ARM/meshes/L_WRIST_R_S.STL,,T170A-261-A1-2;左手顾客参考.step-1,cal7,lal7,L_WRIST_R,revolute,0.0258,0,-0.039,0,0,0,L_WRIST_Y_S,1,0,0,0,0,-0.26,0.26,,,,,,,,
R_SHOULDER_P_S,-0.00982258725282141,-0.0704593093873431,-1.15069920925137E-06,0,0,0,0.880737519698404,0.000583190308378149,1.53153074560471E-05,-6.58466471736542E-09,0.000445532440067178,6.37001403998779E-09,0.000465648071069953,0,0,0,0,0,0,package://T170A_ARM/meshes/R_SHOULDER_P_S.STL,0.890196078431372,0.890196078431372,0.913725490196078,1,0,0,0,0,0,0,package://T170A_ARM/meshes/R_SHOULDER_P_S.STL,,T170A-210-A1-1;CRA-RI60-70-PRO-2-xxx-A0-6;T170A-151-A1-1,car1,lar1,R_SHOULDER_P,revolute,0,-0.0945,0.042,0,0,0,PELVIS_S,0,-1,0,0,0,-0.087,2.09,,,,,,,,
R_SHOULDER_R_S,-0.0346025282975784,-0.09173932900033,1.86280643132974E-08,0,0,0,0.59478842444248,0.000380970396712653,-4.80751844573946E-05,1.34913746041655E-11,0.000320962178597472,-1.00039763417375E-09,0.000414771047901152,0,0,0,0,0,0,package://T170A_ARM/meshes/R_SHOULDER_R_S.STL,0.890196078431372,0.890196078431372,0.913725490196078,1,0,0,0,0,0,0,package://T170A_ARM/meshes/R_SHOULDER_R_S.STL,,T170A-220-A1-1;T170A-222-A1-1;CRA-RI50-60-PRO-2-xxx-B0-5,car2,lar2,R_SHOULDER_R,revolute,0.035,-0.0765,0,0,0,0,R_SHOULDER_P_S,1,0,0,0,0,-2.8,0,,,,,,,,
